#(eq, dbs, sgls)*3
#1      2       3       4                   5       6       7                   8       9       10
10		0.2122	0.1914	0.2033				0.166	0.1532	0.1521				0.1593	0.1548	0.1588
20		0.2185	0.197	0.2095				0.1735	0.1462	0.148				0.1504	0.1491	0.1542
30		0.2006	0.1998	0.2038				0.1573	0.1425	0.1408				0.1523	0.1451	0.1479
50		0.1566	0.148	0.1505				0.127	0.116	0.1283				0.1406	0.1362	0.1489
80		0.2019	0.1856	0.1968				0.156	0.1375	0.128				0.1368	0.135	0.1353
#old
#(eq, dbs, sgls)*3
#1      2       3       4                   5       6       7                   8       9       10
#10		0.2122	0.2914	0.1433				0.166	0.3532	0.1221				0.1893	0.3548	0.1588
#20		0.2185	0.2897	0.1195				0.1735	0.3462	0.118				0.1904	0.3491	0.1542
#30		0.2006	0.2898	0.1338				0.1573	0.3425	0.1208				0.1923	0.3451	0.1479
#50		0.1566	0.148	0.1505				0.1657	0.3296	0.1283				0.1806	0.3362	0.1689
#80		0.2019	0.2756	0.1368				0.156	0.3375	0.108				0.1768	0.325	0.1653
