#(Fennel	eq	SGLd	SGLs)*3
#random|dfs|bfs
#1  2       3       4       5         6         7       8       9           10      11      12      13
2	1.01585	1	    1	1.0133		  1.0636	1.0001	1	1.0357		   1.06462	1	    1.00014	1.0124
4	1.02858	1.00018	1	1.0275	      1.10009	1.0001	1	1.0957		   1.0576	1	    1.00014 1.0195
8	1.10017	1	    1	1.0349		  1.10009	1.0002	1	1.1034		   1.10034	1.00019	1.00071	1.0285
16	1.10017	1.00079	1	1.0483	      1.10009	1.00049	1	1.1012		   1.10093	1.00019	1.00184	1.0454
#old
#(Fennel	eq	SGLd	SGLs)*3
#random|dfs|bfs
#1  2       3       4       5         6         7       8       9           10      11      12      13
#2	1.01585	1	    1	1.1233		  1.0636	1.0001	1	1.03573		   1.06462	1	    1.00014	1.11424
#4	1.02858	1.00018	1	1.27529	      1.10009	1.0001	1	1.18571		   1.0576	1	    1.00014	1.19577
#8	1.10017	1	    1	1.44942		  1.10009	1.0002	1	1.33669		   1.10034	1.00019	1.00071	1.20785
#16	1.10017	1.00079	1	1.59839	      1.10009	1.00049	1	1.42124		   1.10093	1.00019	1.00184	1.4454																
