#(Fennel	eq	SGLd	SGLs)*3
#random|dfs|bfs
#1  2   3   4   5       6   7   8   9       10    11    12  13
2	320	122	130	281		310	121	129	281		911	  122	125	241
4	322	141	145	292		312	126	131	293  	1007  123	129	252
8	326	163	179	319		314	139	182	317  	1037  131	131	279
16	332	183	206	331		319	165	205	321 	1068  160	162	311
																
#(Fennel	eq	SGLd	SGLs)*3
#random|dfs|bfs
#1  2   3   4   5       6   7   8   9       10  11  12  13
#2	220	226	272	909		236	163	206	982		911	172	313	844
#4	222	310	315	862		242	347	258	1033	907	253	374	872
#8	224	383	348	919		241	277	292	1065	891	321	382	891
#16	227	383	378	952		246	335	316	1092	941	347	396	912
